# N_in = 8	N_bs = 320	N_ps = 640
[n1, n2]	phi_1	phi_2	alpha
2	6	5.64304	4.09569	1.74841
2	6	0.36745	2.75262	0.05903
1	5	0.6858	6.11179	0.04909
4	6	1.44894	1.46772	5.23821
3	6	4.66083	0.2645	4.49248
4	7	3.31911	4.40352	0.03613
1	5	1.47778	2.74355	3.68917
0	5	5.78317	5.07978	0.19709
4	6	6.0024	2.17607	4.08854
4	5	2.08075	0.00966	4.01365
2	3	3.32861	4.97254	1.85955
1	6	2.61707	6.18368	6.24947
2	4	4.7426	1.42964	2.02175
0	1	3.33806	3.75118	3.25244
2	6	2.97222	2.13711	4.09858
1	5	1.05581	1.37707	2.44742
1	7	0.29896	5.35697	1.7245
0	7	1.27622	1.14204	0.395
4	7	3.06384	3.83677	5.41318
4	5	3.84726	1.70431	4.71945
0	4	1.64742	5.09865	2.58204
5	6	4.82095	1.35029	6.14737
2	4	0.03648	1.5989	2.26415
0	7	2.45345	5.89993	0.11696
3	5	0.0328	4.43232	0.62558
4	6	1.68838	4.81945	4.12687
5	7	2.18179	2.00373	0.43646
1	7	0.9442	5.71292	3.08777
2	4	0.49986	3.55979	5.11979
0	5	0.10592	3.06247	2.06079
0	3	2.30272	3.64892	1.18224
3	5	2.18775	5.95603	3.12402
4	5	3.73222	5.05659	6.19069
0	5	0.18464	4.22958	5.427
4	5	5.08258	2.68898	3.37619
2	3	2.07462	0.72651	1.17878
2	6	3.76663	2.37484	0.13451
1	2	5.0618	2.75507	2.71727
1	2	4.44386	0.77067	4.52748
0	1	5.75708	1.9071	4.85652
2	6	3.03775	3.96406	0.42993
0	1	3.75364	2.6727	4.56319
1	6	0.95462	5.04402	5.62022
1	7	0.17052	4.88497	1.35363
1	6	1.46094	4.33016	1.22299
1	4	5.54089	1.00845	4.43104
1	4	4.12575	1.74671	5.33004
1	3	0.93267	2.92375	5.0496
0	6	5.8587	2.13453	1.25083
1	7	0.42674	5.34413	3.84077
0	6	1.17998	5.52235	1.67742
2	3	6.1506	0.68418	1.83298
0	7	0.17941	5.54355	2.12027
3	6	1.00603	1.21637	5.49529
0	4	0.57659	6.17537	3.43827
0	3	5.90623	0.46279	2.87125
4	7	4.46756	5.23074	5.25474
0	1	2.76231	1.60213	1.1839
4	5	1.97872	0.8481	4.49879
0	5	0.41476	4.08563	3.229
1	5	2.06777	4.66492	4.514
1	5	0.86186	3.2984	5.97121
3	4	4.024	5.27168	6.06295
1	2	1.29098	5.98125	0.38932
2	3	4.91657	3.17065	2.03654
1	2	0.06077	2.0692	6.05218
3	7	5.0043	5.57237	4.01951
3	6	3.57454	6.09813	4.45852
3	4	1.54012	0.80583	1.0508
2	5	0.21727	2.53431	0.25187
2	3	4.73352	0.81158	1.92207
2	6	1.83679	0.17274	0.506
1	7	2.33427	0.20682	6.28044
1	7	4.70717	0.47781	2.45446
1	3	3.04294	0.50242	6.17009
3	7	5.09077	1.57644	4.37908
3	6	6.21505	3.38776	1.85411
4	5	3.22867	5.07274	4.11141
1	4	3.25158	2.0286	2.28307
0	1	4.40064	0.44957	1.02902
2	7	3.67878	4.80176	0.65663
